Id,jobTitle,companyName,postedDate,numOfApplicants,sizeOfEmployee,seniorityLevel,employmentType,jobFunction,companyIndustry
0,Data Warehouse Analyst,Badan Pertanahan Nasional,Posted 2 hours ago,20 applicants,,Associate,Contract,"['Business Development', 'Sales']",
1,Business Intelligence Analyst - GoPay,Gojek,Posted 3 weeks ago,170 applicants,"1,001-5,000 employees",Associate,Full-time,"['Business Development', 'Sales']","['Computer Software', 'Internet', 'Financial Services']"
2,Data Analyst - Jakarta,Payfazz (PT. Payfazz Teknologi Nusantara),Posted 2 days ago,73 applicants,,Entry level,Full-time,Information Technology,"['Internet', 'Banking', 'Financial Services']"
3,Data Analyst,Lemonilo,Posted 2 months ago,"1,553 applicants",51-200 employees,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
4,Data Analyst-Platform,Traveloka,Posted 5 days ago,175 applicants,"1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Financial Services']"
5,Jr.Data Analyst,Home Credit Indonesia,Posted 1 week ago,913 applicants,10001+ employees,Mid-Senior level,Full-time,Analyst,Financial Services
6,Data Engineer - Jakarta,Ritase.com,Posted 5 days ago,27 applicants,51-200 employees,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Logistics & Supply Chain', 'Transportation/Trucking/Railroad']"
7,Data Analyst Consultant,Nomura Research Institute Indonesia,Posted 16 hours ago,76 applicants,51-200 employees,Mid-Senior level,Full-time,Information Technology,Information Technology & Services
8,Digital Data Analyst,PT. VIVO MOBILE INDONESIA,Posted 1 week ago,459 applicants,"1,001-5,000 employees",Associate,Full-time,"['Analyst', 'Strategy/Planning', 'Research']",Telecommunications
9,Data Analyst,PT Kamoro Maxima Integra,Posted 1 month ago,481 applicants,51-200 employees,Entry level,Full-time,Information Technology,Information Technology & Services
10,Data Analyst - Jakarta,Quipper,Posted 1 month ago,119 applicants,"501-1,000 employees",Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
11,Data Analyst - Jakarta,KOMPAS GRAMEDIA,Posted 5 days ago,472 applicants,10001+ employees,Entry level,Full-time,Information Technology,"['Marketing & Advertising', 'Information Technology & Services', 'Online Media']"
12,NCS Data Analyst,The Nature Conservancy,Posted 37 minutes ago,1 applicant,"1,001-5,000 employees",Entry level,Full-time,Information Technology,"['Non-profit Organization Management', 'Environmental Services', 'Human Resources']"
13,Data Engineer,ITB Career Center,Posted 2 weeks ago,52 applicants,11-50 employees,Entry level,Full-time,Information Technology,"['Information Technology & Services', 'Computer Software', 'Internet']"
14,Data Analyst - Marketing,Pluang,Posted 1 day ago,306 applicants,51-200 employees,,Full-time,,Financial Services
