,jobTitle,companyName,jobPostingTime,numberOfApplicants,seniorityLevel,companyIndustry,employmentType,jobFunction,sizeOfEmployee
0,UX Researcher,Cakap,1 month ago,80 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
1,Data Analyst,Quipper,4 days ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,Information Technology,"501-1,000 employees"
2,Data Analyst,Fore Coffee,3 weeks ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Market Research', 'Computer Software']",Full-time,Information Technology,51-200 employees
3,Senior Business Intelligence,Soyaka AI (Shox),2 months ago,Be among the first 25 applicants,Associate,"['Logistics and Supply Chain', 'Consumer Goods', 'Retail']",Full-time,"['Business Development', 'Sales']",
4,INSTRUMENT ENGINEER,Akr Corporindo,4 days ago,Be among the first 25 applicants,Entry level,Construction,Full-time,"['Engineering', 'Information Technology']",
5,Technical Expert Data Engineer,Vidio,3 weeks ago,Be among the first 25 applicants,Mid-Senior level,Entertainment,Full-time,Information Technology,51-200 employees
6,Lead iOS Engineer,HappyFresh,3 months ago,Be among the first 25 applicants,Associate,"['Marketing and Advertising', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
7,MS Services Engineer (L2),NTT Ltd.,4 weeks ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
8,Data Analyst (Payment),Traveloka,1 month ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,"1,001-5,000 employees"
9,Backend Engineer / Data Engineer,Delman.io,3 weeks ago,Be among the first 25 applicants,Associate,Information Technology and Services,Full-time,"['Information Technology', 'Engineering']",
10,Lowongan System Engineer (Network Engineer),PT Primacom Interbuana,3 weeks ago,50 applicants,Entry level,Telecommunications,Full-time,Information Technology,
11,Business Intelligence,DKATALIS (Digital Katalis),1 month ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Business Development', 'Sales']",201-500 employees
12,Senior Data Infrastructure Engineer,LinkAja,6 days ago,54 applicants,Mid-Senior level,"['Information Technology and Services', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","501-1,000 employees"
13,Senior Software Engineer,Advotics,4 days ago,Be among the first 25 applicants,Associate,Retail,Full-time,"['Engineering', 'Information Technology']",
14,"Sales Specialist (Equipment), Indonesia",Dentsply Sirona,3 weeks ago,89 applicants,Associate,Medical Devices,Full-time,"['Sales', 'Health Care Provider']","10,001+ employees"
15,Software Engineer in Test - Mapan,Gojek,3 weeks ago,61 applicants,Entry level,"['Computer Software', 'Internet', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']","1,001-5,000 employees"
16,Data Engineer,Jobs MNC,3 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Information Technology and Services', 'Computer Software']",Contract,Information Technology,
17,Data Center Mechanical Engineer - IT Services,RGF HR Agent Indonesia,1 month ago,27 applicants,Entry level,"['Human Resources', 'Management Consulting']",Full-time,Information Technology,
18,System Engineer (PABX/SIP),PT Phintraco Technology,3 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,Information Technology,
19,Software Engineer Backend Web,Stealth Education Technology,2 months ago,54 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']",
20,Business Process Lead,Soyaka AI (Shox),2 months ago,Be among the first 25 applicants,Associate,"['Logistics and Supply Chain', 'Consumer Goods', 'Retail']",Full-time,"['Management', 'Manufacturing']",
21,Senior Pega Developer,PT Anabatic Digital Raya,1 month ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Engineering', 'Information Technology']",
22,Data Engineer,Computrade Technology,4 days ago,Be among the first 25 applicants,Entry level,Warehousing,Full-time,Information Technology,
23,Data Engineer,Xiaomi Indonesia,5 days ago,Over 200 applicants,Mid-Senior level,Internet,Contract,"['Analyst', 'Engineering']",51-200 employees
24,Software Engineer,Wells Fargo,5 days ago,Be among the first 25 applicants,Associate,"['Financial Services', 'Investment Management', 'Banking']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
25,Senior Associate Data Engineer - Central Jakarta,NTT,2 weeks ago,Be among the first 25 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Telecommunications']",Full-time,Information Technology,
26,Marketing Planner (Digital Marketing),Jetcommerce,3 weeks ago,45 applicants,Associate,"['Marketing and Advertising', 'Internet', 'Consumer Goods']",Full-time,"['Marketing', 'Sales']",
27,Data Analyst,Kompas Gramedia,1 week ago,Over 200 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,Information Technology,
28,Data Analyst-Platform,Traveloka,4 days ago,152 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,"1,001-5,000 employees"
29,Data Engineer,Xiaomi Indonesia,5 days ago,Over 200 applicants,Mid-Senior level,Internet,Contract,"['Analyst', 'Engineering']",51-200 employees
30,Data Engineer,Akseleran,2 months ago,Be among the first 25 applicants,Entry level,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,Information Technology,51-200 employees
31,MS Engineer (L1),NTT Ltd.,2 months ago,78 applicants,Entry level,"['Information Technology and Services', 'Staffing and Recruiting', 'Telecommunications']",Full-time,"['Engineering', 'Information Technology']","10,001+ employees"
32,Data Engineer,PT Kamoro Maxima Integra,1 month ago,60 applicants,Entry level,Information Technology and Services,Full-time,Information Technology,51-200 employees
33,Senior Software Engineer - Web Full Stack,Moka,5 months ago,38 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Internet']",Full-time,"['Engineering', 'Information Technology']","501-1,000 employees"
34,iOS Software Engineer,IDN Media,2 months ago,Be among the first 25 applicants,Entry level,"['Marketing and Advertising', 'Online Media', 'Internet']",Full-time,"['Engineering', 'Information Technology']",201-500 employees
35,Sales Consultant,Harcourts Section One,2 weeks ago,Be among the first 25 applicants,Associate,,Part-time,"['Sales', 'Business Development']",
36,Business Analyst,PT Berlian Sistem Informasi,1 month ago,34 applicants,Associate,"['Information Technology and Services', 'Computer Software', 'Financial Services']",Full-time,"['Business Development', 'Sales']",201-500 employees
